wavelength,s415,s445,s480,s515,s555,s590,s630,s680,s910
374,0.0018343807375826176,-0.0003646536627292869,5.332645999318217e-05,-1.4439360021646303e-05,4.994900740484897e-06,-1.4393343550033178e-06,3.194069232310572e-07,-7.395118794420387e-08,1.0186514094207013e-09
375,0.001843598731130234,-0.0003664860925850506,5.3594433774194876e-05,-1.4511914972053373e-05,5.020007774165403e-06,-1.4465589330889703e-06,3.210126322931917e-07,-7.432282800961402e-08,1.0237693204436409e-09
376,0.0018528630478387008,-0.00036832773510593695,5.386375100664982e-05,-1.4584839878716267e-05,5.045226229593013e-06,-1.4538336122709175e-06,3.2262480036201225e-07,-7.469628285036974e-08,1.0289150064764162e-09
377,0.0018621739167417905,-0.0003701786226738973,5.413442064688997e-05,-1.4658134741634985e-05,5.070580867155969e-06,-1.461138352110641e-06,3.2424730284153037e-07,-7.507168209328142e-08,1.0340855438337818e-09
378,0.0018715315755160596,-0.00037203882005283406,5.440646060760119e-05,-1.4731788679743182e-05,5.096059306660152e-06,-1.4684831728274e-06,3.2587626432773447e-07,-7.544889611153867e-08,1.0392809325157376e-09
379,0.0018809362553559765,-0.0003739083596246984,5.467985297609761e-05,-1.480582345517355e-05,5.121673928299682e-06,-1.4758580542019358e-06,3.2751297662196173e-07,-7.582805453195188e-08,1.0445040962075294e-09
380,0.0018903881960987941,-0.00037578729805790495,5.495463357775101e-05,-1.4880217305793395e-05,5.147412351880438e-06,-1.4832730164535072e-06,3.291600233268866e-07,-7.620902772771067e-08,1.0497521112239112e-09
381,0.0018998876354210683,-0.00037767567582989287,5.52307844998755e-05,-1.4954991993735414e-05,5.173274577402418e-06,-1.490728059582114e-06,3.3081352903849736e-07,-7.659207495243581e-08,1.055027901250129e-09
382,0.0019094348088386597,-0.00037957354151358887,5.5508323655156974e-05,-1.5030147518999605e-05,5.199272985059747e-06,-1.4982231835877562e-06,3.3247607735946853e-07,-7.697693695250652e-08,1.06033000444356e-09
383,0.001919029958349517,-0.00038148094368191984,5.578725999993838e-05,-1.5105673000519622e-05,5.225395194658301e-06,-1.5057483682511753e-06,3.341463764884629e-07,-7.73637433547332e-08,1.065658420804204e-09
384,0.0019286733259515879,-0.0003833979390033003,5.606760249056267e-05,-1.5181579319361809e-05,5.251653586392204e-06,-1.5133136337916296e-06,3.358257182268176e-07,-7.775249415911585e-08,1.071013150332061e-09
385,0.0019383651514821255,-0.00038532455985968166,5.6349342170686884e-05,-1.525786647552617e-05,5.278048160261454e-06,-1.5209189802091199e-06,3.375128107731955e-07,-7.814318936565446e-08,1.0763941930271312e-09
386,0.001948105679099774,-0.00038726086291947844,5.663250590933988e-05,-1.5334545350079053e-05,5.30456653607193e-06,-1.5285644075036452e-06,3.392089459289338e-07,-7.853582897434903e-08,1.08180447257466e-09
387,0.0019578951551238732,-0.00038920689675561753,5.691709370652166e-05,-1.5411605061954108e-05,5.331221094017753e-06,-1.5362398954559474e-06,3.4091412369403246e-07,-7.893054261200996e-08,1.0872396034467792e-09
388,0.001967733823713068,-0.0003911627099410257,5.7203105562232215e-05,-1.5489045611151334e-05,5.358011834098925e-06,-1.5439654845045442e-06,3.4262705226715424e-07,-7.932720065182686e-08,1.0927039711713573e-09
389,0.0019776219333473948,-0.00039312835104862986,5.749055938915744e-05,-1.556687787873708e-05,5.384938756315444e-06,-1.5517211342109173e-06,3.4434902344963647e-07,-7.972580309379974e-08,1.0981946520631487e-09
390,0.001987559732506889,-0.00039510387674684456,5.777946414364029e-05,-1.5645112745777697e-05,5.412001860667311e-06,-1.5595168647943261e-06,3.460787454401418e-07,-8.012647956473897e-08,1.1037131079647756e-09
391,0.0019975474696715878,-0.00039708931941762103,5.806981086933782e-05,-1.5723728450140488e-05,5.439201147154526e-06,-1.5673526762547704e-06,3.4781880184134474e-07,-8.052910043783416e-08,1.1092593388762389e-09
392,0.002007585397642919,-0.0003990847438248618,5.83616174789359e-05,-1.5802735872891795e-05,5.466524235582967e-06,-1.575238588811509e-06,3.4956660905057084e-07,-8.093379533989571e-08,1.114833344797538e-09
393,0.0020176737670616154,-0.0004010901985414937,5.865489292877751e-05,-1.5882145895097972e-05,5.493995886340878e-06,-1.5831445418067652e-06,3.513221670678201e-07,-8.134043464411325e-08,1.1204351257286733e-09
394,0.0020278128307291044,-0.0004031057240449556,5.8949637218862644e-05,-1.5961958516759018e-05,5.521603719234136e-06,-1.5911005958983162e-06,3.53088059495767e-07,-8.174914797729713e-08,1.1260661435122674e-09
395,0.00203800284360751,-0.0004051313770036624,5.92458682618772e-05,-1.6042173737874934e-05,5.549360114456866e-06,-1.5990967308669025e-06,3.548629945330742e-07,-8.215993533944737e-08,1.1317249363056974e-09
396,0.0020482440649803495,-0.00040716721408602853,5.954358605782116e-05,-1.6122780677379366e-05,5.577240311620821e-06,-1.6071329467125244e-06,3.566456803784046e-07,-8.257292635737439e-08,1.1374115041089636e-09
397,0.00205853674764905,-0.00040921328386498085,5.984279956303748e-05,-1.6203801097405016e-05,5.605269071114246e-06,-1.6152092434351818e-06,3.584374088330954e-07,-8.298786177745736e-08,1.1431273087646887e-09
398,0.0020688811552185206,-0.0004112696349134462,6.014351773386912e-05,-1.6285234997951885e-05,5.633434012743019e-06,-1.6233256210348747e-06,3.6023947169848374e-07,-8.34048712265067e-08,1.1488723502728727e-09
399,0.0020792775426508843,-0.0004133363158043515,6.0445749526659015e-05,-1.6367060616887267e-05,5.661747516701262e-06,-1.631482079511603e-06,3.6204928537189526e-07,-8.38239547045224e-08,1.1546451667908928e-09
400,0.0020897261735510504,-0.0004154133832061113,6.074949494140717e-05,-1.644931059741022e-05,5.690197202794854e-06,-1.639688639084626e-06,3.6386814165466713e-07,-8.424511221150446e-08,1.1604472201613719e-09
401,0.002100202027059712,-0.0004174744377329918,6.105088483795993e-05,-1.6530918595018654e-05,5.71842404539424e-06,-1.6478150369035777e-06,3.6567407992406704e-07,-8.466315867503698e-08,1.1662039564105393e-09
402,0.00211070553747676,-0.00041951972224962695,6.134996399803203e-05,-1.661190637184526e-05,5.746440424693542e-06,-1.655891333626235e-06,3.674658083787578e-07,-8.507783484149916e-08,1.1719168373810186e-09
403,0.0021211904118910874,-0.00042150059096979334,6.163957630360779e-05,-1.6690326217013788e-05,5.773565430016022e-06,-1.6637071046481617e-06,3.691994057732748e-07,-8.547954832692157e-08,1.1774499117088752e-09
404,0.0021312532224371816,-0.0004229948561089433,6.185778864319982e-05,-1.6749410407282288e-05,5.794005130512331e-06,-1.669598993572383e-06,3.7050670872651707e-07,-8.578209730238976e-08,1.1816176250268988e-09
405,0.002140483650790092,-0.0004235731329938699,6.194160210050988e-05,-1.6772097430617435e-05,5.80185417358602e-06,-1.67186356312489e-06,3.710092194466863e-07,-8.589837255131649e-08,1.1832183426990265e-09
406,0.0021485821121325116,-0.0004229218509999127,6.184499002912673e-05,-1.6745939347117346e-05,5.792804251682445e-06,-1.6692482858983225e-06,3.704304924476225e-07,-8.576433842936528e-08,1.1813734973088664e-09
407,0.0021549555969740315,-0.00042042053955970265,6.147692911566694e-05,-1.6646268779371582e-05,5.758325411051178e-06,-1.659318248612772e-06,3.68225387565029e-07,-8.525386805001922e-08,1.1743420342924886e-09
408,0.0021591300486193503,-0.0004155731395624662,6.076462220464683e-05,-1.645339099729064e-05,5.691608544924823e-06,-1.6400894478549812e-06,3.6395856774827084e-07,-8.426611175478889e-08,1.1607352031580924e-09
409,0.002160695967647287,-0.0004079511163612163,5.9645195768569455e-05,-1.6150277132040233e-05,5.58674830070693e-06,-1.6098784867894575e-06,3.572541188082239e-07,-8.271370107346627e-08,1.1393513692696151e-09
410,0.002159200766037675,-0.000397080867728352,5.8049166498842016e-05,-1.5718102938838678e-05,5.437245076483165e-06,-1.566801564195532e-06,3.476934971116367e-07,-8.050032328592588e-08,1.1088631795254202e-09
411,0.0021542011770127514,-0.0003824985303081029,5.590845723271458e-05,-1.5138446772359168e-05,5.2367354524745464e-06,-1.5090149597295703e-06,3.348710770386298e-07,-7.75314804473878e-08,1.067969593991084e-09
412,0.0021450400054476926,-0.000363516497652728,5.3122183723217674e-05,-1.438397539393605e-05,4.9757485801773315e-06,-1.4338132141916749e-06,3.1818229556339546e-07,-7.366756448305375e-08,1.0147439040895623e-09
413,0.002131208558690835,-0.00033960248334352427,4.961225561618519e-05,-1.3433557772721914e-05,4.646980145059223e-06,-1.3390720410989634e-06,2.9715822880053145e-07,-6.879994812581046e-08,9.476950303454481e-10
414,0.0021122909330181495,-0.0003103212415741136,4.531479627370994e-05,-1.2269893013223773e-05,4.244438133164913e-06,-1.223077982958167e-06,2.714177953555651e-07,-6.28402258909667e-08,8.656023341685802e-10
415,0.0020881957029011584,-0.00027557690557790263,4.02157352810202e-05,-1.0889183623286253e-05,3.7668102439174126e-06,-1.0854402512181896e-06,2.408757363402414e-07,-5.5768953756962835e-08,7.681968365163363e-10
416,0.0020588339254510486,-0.00023527622343085913,3.43014142151198e-05,-9.287708278218403e-06,3.2128336975162227e-06,-9.258081382049703e-07,2.054493764689799e-07,-4.756694695586001e-08,6.552183294018317e-10
417,0.0020238540813622354,-0.0001890512714031961,2.7517826328030602e-05,-7.450853705915141e-06,2.5774202341769803e-06,-7.427076696655278e-07,1.6481705720881872e-07,-3.815954044486915e-08,5.256332900906424e-10
418,0.001983305179540658,-0.0001369530834500397,1.987245912245736e-05,-5.380643784717159e-06,1.8612879051587928e-06,-5.363482681823729e-07,1.1902295816548999e-07,-2.7556974742011676e-08,3.795879028450634e-10
419,0.0019372334718441985,-7.902978724639404e-05,1.1372388109329223e-05,-3.079004463368015e-06,1.0650965748083916e-06,-3.0691831387757237e-07,6.810932124272003e-08,-1.5769101484877816e-08,2.1721373350115967e-10
420,0.0018856418600875422,-1.528416764006425e-05,2.018016324078866e-06,-5.460412882112814e-07,1.8888462172755613e-07,-5.4428929194503545e-08,1.2078536272982643e-08,-2.7965039941143577e-09,3.852072258876739e-11
421,0.001828599078170116,5.421212220638271e-05,-8.180150443015375e-06,2.215406870542902e-06,-7.663637286509715e-07,2.208356122464591e-07,-4.9006421428533874e-08,1.1346260639471042e-08,-1.5629144218981877e-10
422,0.0017662153323897494,0.00012934406969769327,-1.920522052915303e-05,5.200757995855482e-06,-1.7990650494989187e-06,5.184190898624587e-07,-1.1504433922706022e-07,2.663584662732576e-08,-3.668991088778783e-10
423,0.0016987143757780686,0.0002098778852415307,-3.1022909053528066e-05,8.400738154878236e-06,-2.9060153465773734e-06,8.373967376180932e-07,-1.858294977596479e-07,4.3024434639094096e-08,-5.926470796118059e-10
424,0.001626395458244504,0.00029550084014396636,-4.3587314758530513e-05,1.1802921169841986e-05,-4.082901360254042e-06,1.1765340645006689e-06,-2.610885518633464e-07,6.04487408659399e-08,-8.326597106604563e-10
425,0.0015496179359389157,0.0003858226347469186,-5.683304738429494e-05,1.538957090259983e-05,-5.323607274632392e-06,1.5340454674382529e-06,-3.4042711458990953e-07,7.881776728696399e-08,-1.0856871265812088e-09
426,0.0014687688456872041,0.0004804309658564504,-7.069528987690463e-05,1.914313619313279e-05,-6.6220544143982585e-06,1.9082104747840953e-06,-4.234576455381788e-07,9.804168252256077e-08,-1.3504896848298044e-09
427,0.001384243960009067,0.0005788627796655717,-8.507874674738978e-05,2.3037763627798507e-05,-7.969291899201045e-06,2.2964338497501472e-06,-5.096091685171134e-07,1.1798800797250384e-07,-1.6252473913406731e-09
428,0.0012968124283301962,0.0006802085238328644,-9.979155521711223e-05,2.702139818518915e-05,-9.347331306980704e-06,2.6935251187603078e-06,-5.977293967339346e-07,1.3838958278056357e-07,-1.906272017176118e-09
429,0.0012071483597034497,0.0007836254742687459,-0.00011463356789020665,3.103972158209656e-05,-1.0737354742670982e-05,3.0940733634147816e-06,-6.866169549450502e-07,1.589704314674033e-07,-2.189752538618115e-09
430,0.001115869421481619,0.0008883058551044895,-0.000129396451273353,3.50361522735122e-05,-1.2119801499558267e-05,3.49243720027082e-06,-7.750200876547173e-07,1.7943720856109305e-07,-2.4716835068797875e-09
431,0.0010235804680904076,0.0009934601377008826,-0.00014387720089728537,3.895556677731819e-05,-1.3475606078693848e-05,3.883125549174556e-06,-8.61719334400623e-07,1.9951121641927782e-07,-2.7481910390103246e-09
432,0.0009309469657988033,0.0010981741876704097,-0.00015782061472603535,4.2728652700879084e-05,-1.4780775663868253e-05,4.259224458837363e-06,-9.451800351941785e-07,2.1883468504526002e-07,-3.014363343796622e-09
433,0.0008386241975156984,0.0012015279771104323,-0.0001709614237941606,4.6283355622839814e-05,-1.6010401304506933e-05,4.613549432050623e-06,-1.0238106907879584e-06,2.370394742975103e-07,-3.2651278273370516e-09
434,0.0007473757294284035,0.001302472865103545,-0.00018300699750851184,4.954017847246343e-05,-1.7136974209269608e-05,4.938184495599821e-06,-1.0958505759593645e-06,2.537185559913798e-07,-3.4948856323857244e-09
435,0.0006577934301798566,0.0014001252129647959,-0.0001936807998242177,5.242400924875112e-05,-1.813449597049895e-05,5.225624505260056e-06,-1.1596384341887627e-06,2.6848693849998756e-07,-3.6983156517951113e-09
436,0.0005703905212404691,0.0014936804992115565,-0.00020271619145536488,5.486236916876025e-05,-1.897790907529095e-05,5.4686649233841936e-06,-1.2135724318180307e-06,2.809738891455961e-07,-3.870316054811125e-09
437,0.0004856410722697187,0.001582360213163517,-0.00020984204598822282,5.678158253224995e-05,-1.9641722703947292e-05,5.659940888816956e-06,-1.2560197319569522e-06,2.9080219390994817e-07,-4.005682681696072e-09
438,0.00040406919680638945,0.0016653239541360952,-0.00021477286207862903,5.810403469296139e-05,-2.0099071835222075e-05,5.791736832729007e-06,-1.2852661142310684e-06,2.9757260221701905e-07,-4.098962859466358e-09
439,0.00032599680397852547,0.0017419847264039975,-0.00021728357578463603,5.876856317695367e-05,-2.0328811097554005e-05,5.857930401153169e-06,-1.299952603633649e-06,3.009740097218542e-07,-4.145814915531827e-09
440,0.00025170423976653714,0.0018118311380025472,-0.00021717801632664755,5.872181811592356e-05,-2.031248162150638e-05,5.853220898101495e-06,-1.2989062445505203e-06,3.007316075864105e-07,-4.142481914351507e-09
441,0.00018141278104447106,0.0018744591755173196,-0.00021430105984479925,5.7921635377773374e-05,-2.0035499538402848e-05,5.7734098517045145e-06,-1.2811982318202383e-06,2.966315115735319e-07,-4.085981696974584e-09
442,0.00011537472795907752,0.001929408448556813,-0.00020847604247443621,5.6319985935643966e-05,-1.9481238247536837e-05,5.613687556717966e-06,-1.245753786730256e-06,2.8842483820725473e-07,-3.972952025368275e-09
443,5.3735039442130036e-05,0.0019764137327495414,-0.00019960089773131976,5.388911218928211e-05,-1.864010309846339e-05,5.371298452845655e-06,-1.1919644708507542e-06,2.759715905323496e-07,-3.801404793565376e-09
444,-3.347456067181592e-06,0.0020151845781840177,-0.00018756391314985593,5.059866684464383e-05,-1.7501583306372463e-05,5.043216433871402e-06,-1.1191598392877281e-06,2.591149201082352e-07,-3.5692203297626097e-09
445,-5.577372090848427e-05,0.002045539281636445,-0.0001722949426520738,4.642956451135508e-05,-1.605909260799087e-05,4.627547678355278e-06,-1.0269148894012401e-06,2.3775760682711344e-07,-3.275024501894407e-09
446,-0.0001034272892477299,0.0020672644217618065,-0.00015371174909702216,4.1359444598071176e-05,-1.4304893381992029e-05,4.122047657183294e-06,-9.147387366831561e-07,2.1178557909583415e-07,-2.9172823752066723e-09
447,-0.00014624742176057193,0.0020802479246269214,-0.0001317707957016294,3.537646850460571e-05,-1.2234875403927251e-05,3.52554400470216e-06,-7.823665618593507e-07,1.811379123135106e-07,-2.4951168441256373e-09
448,-0.00018420536822646487,0.0020844358904739805,-0.00010645080219505038,2.8474869265794354e-05,-9.847057842736935e-06,2.8374655684141207e-06,-6.296704765974415e-07,1.4578479231375124e-07,-2.008147829569336e-09
449,-0.0002173374218555772,0.0020798926784310378,-7.77756909693e-05,2.066113199718039e-05,-7.143669133363135e-06,2.0584436221324854e-06,-4.567964544485317e-07,1.0576044057450106e-07,-1.4568124224820287e-09
450,-0.000245737819241842,0.002066788018495425,-4.580968795966041e-05,1.1952720810252018e-05,-4.1307755709258955e-06,1.1902417244468169e-06,-2.641294522111056e-07,6.11530033268305e-08,-8.423604983063365e-10
451,-0.00026952233911798967,0.002045330798538989,-1.0631958281451506e-05,2.3711584542451797e-06,-8.157978437822641e-07,2.3498816992770136e-07,-5.21460153984549e-08,1.2073155941457076e-08,-1.6630360231438683e-10
452,-0.00028880439209397007,0.0020157256239205267,2.7679963004423414e-05,-8.062467564258114e-06,2.7939622095742852e-06,-8.052087872927928e-07,1.7868841996762876e-07,-4.137104467247168e-08,5.698715715462825e-10
453,-0.0003037126973106638,0.0019782049241904237,6.903789174529552e-05,-1.9324208018226376e-05,6.690207383042828e-06,-1.927960326943348e-06,4.278420192766218e-07,-9.9056790074785e-08,1.3644722095182983e-09
454,-0.0003143484574458035,0.0019329525640677204,0.0001133706697964407,-3.13938894106508e-05,1.0865960199215903e-05,-3.131258397084486e-06,6.948702736883951e-07,-1.608811306526651e-07,2.2160803242574013e-09
455,-0.0003209065197403598,0.0018803323547743982,0.0001605280813739303,-4.422465786983779e-05,1.5304953083016494e-05,-4.410409527015346e-06,9.787319913251687e-07,-2.2660192352428906e-07,3.1213702237963856e-09
456,-0.00032362978747431956,0.0018208020475729348,0.00021031708146185694,-5.7754415150140525e-05,1.9985632116477264e-05,-5.759201180795423e-06,1.2780475283588173e-06,-2.9590171263099297e-07,4.075938838154933e-09
457,-0.000322782178856651,0.0017548736415895923,0.0002625068561461004,-7.190211906940065e-05,2.487978283719295e-05,-7.169496940386506e-06,1.591008362917267e-06,-3.683618033751923e-07,5.07404112582486e-09
458,-0.0003186534367345278,0.0016831203054564923,0.00031682817775763517,-8.6568556064659e-05,2.9952876883755793e-05,-8.631356748283786e-06,1.915418432727284e-06,-4.434701698558163e-07,6.108631005363559e-09
459,-0.00031153223873201153,0.0016061244042799034,0.0003729964674556225,-0.0001016443061327222,3.516675849788014e-05,-1.0133758363302497e-05,2.2488194398441847e-06,-5.20661639179531e-07,7.171931474016949e-09
460,-0.0003017336618564964,0.0015245293269531717,0.00043069004922673164,-0.00011700278982876638,4.047730466771325e-05,-1.1663996147422374e-05,2.5884081753662543e-06,-5.992828922219321e-07,8.254908344375211e-09
461,-0.00028961320973693136,0.0014390709128403842,0.0004895318072947822,-0.0001324920857044437,4.583152816241068e-05,-1.3206789266273628e-05,2.930774283763295e-06,-6.785496867801136e-07,9.346787836307226e-09
462,-0.00027550514420020744,0.0013504560275547704,0.0005491454767361737,-0.00014795525613982,5.117465900317431e-05,-1.4746345854304266e-05,3.2724169834115056e-06,-7.576505590209862e-07,1.0436357616894985e-08
463,-0.0002597587136604472,0.0012594345156543203,0.0006091217078964547,-0.00016321785587920746,5.644578663492127e-05,-1.626509044693421e-05,3.609447952285927e-06,-8.356807138079737e-07,1.1511206642269662e-08
464,-0.00024275045828254062,0.0011668186379080047,0.0006690137046513071,-0.00017808828022528785,6.157802086880748e-05,-1.774375416252863e-05,3.9375784099470685e-06,-9.116523948458462e-07,1.2557681302332924e-08
465,-0.00022484414419681693,0.0010734085523305247,0.0007283675326710831,-0.00019236697042124265,6.650166121192306e-05,-1.916222642103496e-05,4.252351641781603e-06,-9.845311801876302e-07,1.3561557868363494e-08
466,-0.00020634724924295219,0.00097991522085194,0.000786749400441425,-0.00020585270290710223,7.114637578145784e-05,-2.050022629867322e-05,4.549272179136091e-06,-1.0532748702777282e-06,1.4508481045804027e-08
467,-0.00018751365951853686,0.0008869628055820598,0.0008437474236628273,-0.00021834443910102478,7.544182031440761e-05,-2.1737472871663446e-05,4.823818717330345e-06,-1.1168412655605426e-06,1.538413939537586e-08
468,-0.00016859031448362548,0.0007951516517055677,0.0008989706579655974,-0.0002296528919728241,7.932178553260502e-05,-2.2854867602098205e-05,5.071779984005106e-06,-1.1742490910813632e-06,1.6174850070128213e-08
469,-0.00014979209535220055,0.0007050234606934854,0.0009520509528728459,-0.00023959516167826022,8.272229059282479e-05,-2.383395324610264e-05,5.28903513289472e-06,-1.2245507748561833e-06,1.6867763473405374e-08
470,-0.0001313209126803508,0.0006171013467768323,0.0010026219939579882,-0.0002479861286355581,8.557853755902957e-05,-2.4656052114978205e-05,5.471463317733531e-06,-1.2667870784880593e-06,1.7449576837338514e-08
471,-0.00011334061636469485,0.0005318206286213765,0.0010503707122532665,-0.00025466525359182256,8.783432034990302e-05,-2.530495149396402e-05,5.61544749477739e-06,-1.300118020245615e-06,1.7908741605206353e-08
472,-9.594220843730214e-05,0.00044948028878275323,0.001095040266711953,-0.00025948938523818197,8.943948679905476e-05,-2.5766192206669533e-05,5.717783996710053e-06,-1.323813801186311e-06,1.8235024878648252e-08
473,-7.921402031002603e-05,0.0003703620826185468,0.001136393511285463,-0.0002623274176062118,9.034810638629015e-05,-2.6026507482795978e-05,5.775527516482712e-06,-1.3371912880193516e-06,1.841921704913965e-08
474,-6.32117806532641e-05,0.0002946829125335318,0.0011742240201815248,-0.00026305963720395367,9.051818549314557e-05,-2.607380291769789e-05,5.786004025327371e-06,-1.3396153093737882e-06,1.845269324520515e-08
475,-4.796804251246491e-05,0.00022259700566589172,0.0012083710718259308,-0.0002615899098102249,8.991603761141359e-05,-2.5898358898694162e-05,5.747043296997541e-06,-1.3305932833701095e-06,1.8328436622254603e-08
476,-3.351049736714983e-05,0.00015423554130002788,0.0012386978222547747,-0.00025783629011436016,8.851289116995342e-05,-2.549186866401917e-05,5.656810973594404e-06,-1.3096974415340035e-06,1.8040599809796225e-08
477,-1.9857452794252735e-05,8.968527068326465e-05,0.0012651134272815316,-0.0002517441769254264,8.628963114903988e-05,-2.4848831113299798e-05,5.514079843847625e-06,-1.2766529750274267e-06,1.7585382017010345e-08
478,-7.023986130235866e-06,2.9017612209022643e-05,0.0012875429223157245,-0.00024326844646127918,8.32304109001961e-05,-2.3964667006334733e-05,5.317829384700817e-06,-1.231216185446832e-06,1.6959567190126483e-08
479,4.977400838031968e-06,-2.7708199438424857e-05,0.0013059239622540903,-0.00023237146111342155,7.932202075629334e-05,-2.2835558639586342e-05,5.067232843298176e-06,-1.17319522511283e-06,1.616037782816103e-08
480,1.6131840361597386e-05,-8.042172541968169e-05,0.0013201825856165622,-0.000219008684677292,7.454886167273722e-05,-2.145702697504591e-05,4.7612696965833175e-06,-1.1023580620348096e-06,1.518459787734352e-08
481,2.643461780185898e-05,-0.00012910062218840452,0.0013302946550588946,-0.0002031652100919941,6.890568444721977e-05,-1.9827538919166825e-05,4.399629912235314e-06,-1.018625623858428e-06,1.4031189429411638e-08
