wavelength,s415,s445,s480,s515,s555,s590,s630,s680,s910
350,0.0016264601213927278,-0.0003233214535260592,4.728209282767267e-05,-1.2802706189076045e-05,4.4287544632612524e-06,-1.2761851450302314e-06,2.832041907561409e-07,-6.556912950345868e-08,9.031906935324316e-10
351,0.0016346332866375326,-0.00032494617745119567,4.7519695649747744e-05,-1.2867045934390532e-05,4.451001672099452e-06,-1.282598085355915e-06,2.846264640283936e-07,-6.589851122867918e-08,9.077297148766839e-10
352,0.0016428475245519867,-0.00032657907781901574,4.7758489665434935e-05,-1.2931701230629106e-05,4.473372682878878e-06,-1.2890410863393748e-06,2.8605648810866954e-07,-6.622970772924525e-08,9.122906638602805e-10
353,0.0016511030404022064,-0.0003282201789159829,4.7998474874734245e-05,-1.2996682958858111e-05,4.495855115405406e-06,-1.2955241681998703e-06,2.874942629969686e-07,-6.656258937834649e-08,9.16875002325844e-10
354,0.0016594000416150052,-0.000329869521219536,4.823967814667452e-05,-1.3061991119077554e-05,4.518436589484915e-06,-1.3020373107181425e-06,2.889384968919537e-07,-6.68970265491725e-08,9.21482730273375e-10
355,0.0016677387334564995,-0.0003315271613980899,4.848209052491282e-05,-1.3127636592353775e-05,4.541154245699772e-06,-1.308580513894191e-06,2.903904815949619e-07,-6.72331488685337e-08,9.261123858602499e-10
356,0.0016761193319962864,-0.0003331931237381079,4.872571200944914e-05,-1.3193597616554083e-05,4.563970943467609e-06,-1.3151537777280164e-06,2.9185021710599336e-07,-6.757108596324045e-08,9.307668927717151e-10
357,0.0016845420403397869,-0.0003348674649080046,4.8970569469312316e-05,-1.3259895953811172e-05,4.586899062982548e-06,-1.3217571022196183e-06,2.9331641162371074e-07,-6.791057857967197e-08,9.354447891651474e-10
358,0.0016930070767172936,-0.00033655021728973126,4.921665394815941e-05,-1.3326531604125042e-05,4.609950984438713e-06,-1.3284005075882558e-06,2.947903569494513e-07,-6.825188597144907e-08,9.40144613197924e-10
359,0.0017015146507163154,-0.000338241421360727,4.9463974402333374e-05,-1.3393493686429347e-05,4.633114327641981e-06,-1.33507397361467e-06,2.9627205308321503e-07,-6.859487851176133e-08,9.448692885552904e-10
360,0.0017100649740850568,-0.00033994112569391856,4.971253083183419e-05,-1.3460803962856781e-05,4.656401472786474e-06,-1.3417875205181197e-06,2.97761500025002e-07,-6.893955620060875e-08,9.496173533946242e-10
361,0.001718658265053811,-0.00034164937076674496,4.996234114934777e-05,-1.352844067127465e-05,4.67980003967807e-06,-1.348531128079346e-06,2.992574059734749e-07,-6.928591903799136e-08,9.543888077159251e-10
362,0.0017272947396921746,-0.000343366205152133,5.021341431121706e-05,-1.3596425573815646e-05,4.703310028316769e-06,-1.3553047962983491e-06,3.007610627299709e-07,-6.963409665071953e-08,9.59185113361816e-10
363,0.0017359746119090483,-0.0003450916612320341,5.046574136109911e-05,-1.3664747789413424e-05,4.726956199090815e-06,-1.3621185453943877e-06,3.022724702944902e-07,-6.998408903879327e-08,9.640048084896744e-10
364,0.0017446981042561172,-0.0003468257956748627,5.071934021167982e-05,-1.3733418199134333e-05,4.750701411417843e-06,-1.3689623551482027e-06,3.037916286670326e-07,-7.033576657540217e-08,9.688493549421227e-10
365,0.0017534654306422814,-0.0003485686327670822,5.0974210862959184e-05,-1.380242592191202e-05,4.774582805880218e-06,-1.3758362255597944e-06,3.053185378475982e-07,-7.068912926054625e-08,9.737172908765382e-10
366,0.001762276813619226,-0.0003503202372725952,5.123036227128015e-05,-1.3871792719879188e-05,4.798575622089696e-06,-1.3827501768484219e-06,3.068519060348498e-07,-7.104443634784629e-08,9.786115399781668e-10
367,0.0017711324778993316,-0.0003520806415733528,5.148780339298567e-05,-1.3941496830903135e-05,4.822679860046277e-06,-1.3897042090140844e-06,3.083943168314618e-07,-7.140142858368149e-08,9.835291785617623e-10
368,0.0017800326395521952,-0.0003538498861467941,5.174653422807575e-05,-1.4011560017116561e-05,4.846920280138205e-06,-1.396688301837524e-06,3.099444784360969e-07,-7.176023559486227e-08,9.884716684699483e-10
369,0.0017889775276115887,-0.0003556280276613337,5.200656373289333e-05,-1.4081960516386767e-05,4.8712721219772366e-06,-1.40370245531874e-06,3.11501099047418e-07,-7.212085738138863e-08,9.934375478601012e-10
370,0.0017979673646291974,-0.00035741510659441063,5.226790086378135e-05,-1.4152730971912798e-05,4.895747765757493e-06,-1.4107566896769917e-06,3.130667622680995e-07,-7.248316431645013e-08,9.984297404174672e-10
371,0.0018070023774780974,-0.00035921116342346396,5.253055457708277e-05,-1.4223849621561958e-05,4.920359591673098e-06,-1.417851004912279e-06,3.146401762968042e-07,-7.284741565366762e-08,1.0034482461420463e-09
372,0.00181608279087067,-0.00036101623862593257,5.2794533829140536e-05,-1.4295327346400598e-05,4.945082839335806e-06,-1.4249753808053428e-06,3.16221341133532e-07,-7.321348176623067e-08,1.0084901413485926e-09
373,0.001825208833840687,-0.0003628303969657191,5.305982966361171e-05,-1.436716414642871e-05,4.969929888939739e-06,-1.432129817356183e-06,3.17810256778283e-07,-7.358136265413929e-08,1.0135583497223517e-09
